n [count],α [°],L [mm],H [mm],b [mm],d [mm],γ [N/mm3],Vroot [mm3],P0 [N],DR [ ],d50 [mm],φ [°],f
F,45,35.3553,90.0,25.0,5.0,1.6227528090000002e-05,15206.531093064585,6.82712486477715,0.8,0.12,39.33,0.947947947947948
2,60,28.8675,90.0,25.0,5.0,1.6227528090000002e-05,2587.050801339838,1.6681829504858,0.8,0.12,39.33,0.4904904904904905
3,60,50.0,90.0,43.3013,5.0,1.6227528090000002e-05,4153.310604043065,3.7150505745842795,0.8,0.12,39.33,0.7397397397397397
3,60,28.8675,90.0,25.0,5.0,1.6227528090000002e-05,3115.971436043278,2.9053509515766893,0.8,0.12,39.33,0.8238238238238238
3,60,28.867513,90.0,25.0,5.0,1.6227528090000002e-05,3115.972074179287,3.4538354447799984,0.8,0.12,39.33,0.7427427427427428
3,60,28.867513,120.0,25.0,5.0,1.6227528090000002e-05,3705.020696727373,1.6717455094900002,0.8,0.12,39.33,0.6156156156156156
6,60,50.0,90.0,43.3013,5.0,1.6227528090000002e-05,6893.9401441288355,6.271015988705536,0.8,0.12,39.33,0.8668668668668669
6,60,28.8675,90.0,25.0,5.0,1.6227528090000002e-05,4611.793974529307,4.35891273657592,0.8,0.12,39.33,0.9409409409409408
6,60,28.867513,90.0,25.0,5.0,1.6227528090000002e-05,4611.795378428525,5.055460464774999,0.8,0.12,39.33,1.0
6,60,28.867513,120.0,25.0,5.0,1.6227528090000002e-05,5200.844000976611,8.901143165599999,0.8,0.12,39.33,0.8498498498498499
6,60,28.867513,150.0,25.0,5.0,1.6227528090000002e-05,5789.892623524697,10.380170350619998,0.8,0.12,39.33,0.7987987987987988
F,60,28.8675,90.0,25.0,5.0,1.6227528090000002e-05,12895.55027804501,6.885651075815788,0.8,0.12,39.33,0.9349349349349351
3,75,25.881905,90.0,25.0,5.0,1.6227528090000002e-05,3099.036158305483,5.149611169429999,0.8,0.12,39.33,0.8288288288288288
3,75,25.881905,120.0,25.0,5.0,1.6227528090000002e-05,3688.0847808535686,5.175113362755,0.8,0.12,39.33,0.6866866866866866
3,75,25.881905,150.0,25.0,5.0,1.6227528090000002e-05,4277.133403401655,6.17357841317,0.8,0.12,39.33,0.3863863863863864
6,75,25.881905,90.0,25.0,5.0,1.6227528090000002e-05,4440.154696707681,5.809702664919998,0.8,0.12,39.33,0.9569569569569568
6,75,25.881905,120.0,25.0,5.0,1.6227528090000002e-05,5029.203319255767,9.674981013774998,0.8,0.12,39.33,0.947947947947948
6,75,25.881905,150.0,25.0,5.0,1.6227528090000002e-05,5618.251941803854,11.04808166882,0.8,0.12,39.33,0.8208208208208209
2,90,25.0,90.0,25.0,5.0,1.6227528090000002e-05,2722.6416382795096,2.9754647937036784,0.8,0.12,39.33,0.40540540540540543
3,90,25.0,90.0,25.0,5.0,1.6227528090000002e-05,3180.700573388465,3.324850331159112,0.8,0.12,39.33,0.5965965965965966
6,90,25.0,90.0,25.0,5.0,1.6227528090000002e-05,4476.121577880652,4.749185041276954,0.8,0.12,39.33,0.7927927927927928
9,90,25.0,90.0,25.0,5.0,1.6227528090000002e-05,5653.408881120821,5.627153381891207,0.8,0.12,39.33,0.8778778778778779
12,90,25.0,90.0,25.0,5.0,1.6227528090000002e-05,6712.562483108972,5.04181698611552,0.8,0.12,39.33,0.8758758758758759
F,90,12.5,60.0,12.5,5.0,1.6227528090000002e-05,3632.466505713199,1.3579395741449996,0.8,0.12,39.33,1.0
F,90,25.0,60.0,25.0,5.0,1.6227528090000002e-05,10995.574287564275,4.423190435334997,0.8,0.12,39.33,1.0
F,90,37.5,60.0,37.5,5.0,1.6227528090000002e-05,23267.42059064941,8.77216414347,0.8,0.12,39.33,1.0
F,90,50.0,60.0,50.0,5.0,1.6227528090000002e-05,40448.00541496859,13.390614786954998,0.8,0.12,39.33,1.0
F,90,25.0,90.0,25.0,5.0,1.6227528090000002e-05,11584.622910112363,7.451502903278116,0.8,0.12,39.33,1.0
F,90,12.5,90.0,12.5,5.0,1.6227528090000002e-05,4221.515128261285,2.400283499319998,0.8,0.12,39.33,1.0
F,90,25.0,90.0,25.0,5.0,1.6227528090000002e-05,11584.622910112363,6.901769247589997,0.8,0.12,39.33,1.0
F,90,37.5,90.0,37.5,5.0,1.6227528090000002e-05,23856.46921319749,13.965112860579998,0.8,0.12,39.33,1.0
F,90,50.0,90.0,50.0,5.0,1.6227528090000002e-05,41037.05403751668,21.172559311329998,0.8,0.12,39.33,1.0
F,90,12.5,120.0,12.5,5.0,1.6227528090000002e-05,4810.5637508093705,3.1722080700799977,0.8,0.12,39.33,1.0
F,90,25.0,120.0,25.0,5.0,1.6227528090000002e-05,12173.67153266045,9.80982147061,0.8,0.12,39.33,1.0
F,90,37.5,120.0,37.5,5.0,1.6227528090000002e-05,24445.51783574558,16.88907735389,0.8,0.12,39.33,1.0
F,90,50.0,120.0,50.0,5.0,1.6227528090000002e-05,41626.10266006476,26.459064450105,0.8,0.12,39.33,1.0
