α [°],H [mm],b [mm],Ls [mm],d [mm],γ [N/mm3],Pmax [N],Vroot [mm3],DR [ ]
90,60.0,37.5,60.0,5.0,1.6227528090000002e-05,15.186153562054994,23267.42059064941,0.8
90,60.0,50.0,60.0,5.0,1.6227528090000002e-05,22.715467014449995,40448.00541496859,0.8
90,90.0,25.0,90.0,5.0,1.6227528090000002e-05,19.646066084207252,11584.622910112363,0.8
90,90.0,12.5,90.0,5.0,1.6227528090000002e-05,13.475755141589994,4221.515128261285,0.8
90,90.0,25.0,90.0,5.0,1.6227528090000002e-05,20.975132814195,11584.622910112363,0.8
90,90.0,37.5,90.0,5.0,1.6227528090000002e-05,29.868635618779997,23856.46921319749,0.8
90,90.0,50.0,90.0,5.0,1.6227528090000002e-05,43.42549567853,41037.05403751668,0.8
90,120.0,12.5,120.0,5.0,1.6227528090000002e-05,27.261865258389996,4810.5637508093705,0.8
90,120.0,25.0,120.0,5.0,1.6227528090000002e-05,36.40519737505,12173.67153266045,0.8
90,120.0,37.5,120.0,5.0,1.6227528090000002e-05,50.193183503995,24445.51783574558,0.8
90,120.0,50.0,120.0,5.0,1.6227528090000002e-05,70.16964630878999,41626.10266006476,0.8
90,150.0,37.5,150.0,5.0,1.6227528090000002e-05,76.94761934877499,25034.566458293662,0.8
90,150.0,50.0,150.0,5.0,1.6227528090000002e-05,96.6078392657,42215.15128261285,0.8
30,112.5,31.25,58.373412,6.25,1.6227528090000002e-05,23.019568288954996,7312.571928023205,0.8
60,112.5,31.25,94.45780400000001,6.25,1.6227528090000002e-05,25.092953975179995,6085.8830149056985,0.8
60,112.5,31.25,94.45780400000001,6.25,1.6227528090000002e-05,33.039286392840005,9007.412975046624,0.8
30,135.0,37.5,70.04809499999999,7.5,1.6227528090000002e-05,36.89477084034,12636.124291624099,0.8
30,135.0,37.5,70.04809499999999,7.5,1.6227528090000002e-05,45.069626642284994,21380.216071946365,0.8
60,135.0,37.5,113.34936,7.5,1.6227528090000002e-05,41.34557778274,10516.405805578399,0.8
60,135.0,37.5,113.34936,7.5,1.6227528090000002e-05,52.000858008470004,15564.809523687549,0.8
30,157.5,43.75,81.72277700000001,8.75,1.6227528090000002e-05,52.030284823125,20065.69737049568,0.8
30,157.5,43.75,81.72277700000001,8.75,1.6227528090000002e-05,66.92157595564,33950.99126239631,0.8
60,157.5,43.75,132.24093,8.75,1.6227528090000002e-05,63.1022035161,16699.66302296726,0.8
60,157.5,43.75,132.24093,8.75,1.6227528090000002e-05,80.171990951535,24716.341269673198,0.8
30,180.0,50.0,93.39746,10.0,1.6227528090000002e-05,94.66395039272498,50679.03068905805,0.8
60,180.0,50.0,151.13249,10.0,1.6227528090000002e-05,91.2480147082,24927.77678978383,0.8
60,180.0,50.0,151.13249,10.0,1.6227528090000002e-05,111.39337450395,36894.36345939719,0.8
30,90.0,25.0,46.69872981077806,5.0,1.533716814e-05,7.110014303047688,3744.036827147881,0.5
30,120.0,25.0,76.69872981077806,5.0,1.533716814e-05,11.66590876131714,4333.085449695966,0.5
30,90.0,25.0,46.69872981077806,5.0,1.533716814e-05,8.748970178652105,6334.878836132256,0.5
30,120.0,25.0,76.69872981077806,5.0,1.533716814e-05,15.363319447285695,6923.927458680342,0.5
30,90.0,25.0,46.69872981077806,5.0,1.533716814e-05,11.66590876131714,20595.51473189553,0.5
45,90.0,25.0,65.0,5.0,1.533716814e-05,7.900229357741924,3275.3384930563802,0.5
45,120.0,25.0,95.0,5.0,1.533716814e-05,12.953633530123104,3864.3871156044665,0.5
45,90.0,25.0,65.0,5.0,1.533716814e-05,9.870858376087488,5107.338145807912,0.5
