α [°],H [mm],b [mm],Ls [mm],γ [N/mm3],Pmax [N],Vroot [mm3],φ [°]
90,120.0,50.0,120.0,1.6227528090000002e-05,70.16964630878999,41626.10266006476,39.33
90,150.0,37.5,150.0,1.6227528090000002e-05,76.94761934877499,25034.566458293662,39.33
90,150.0,50.0,150.0,1.6227528090000002e-05,96.6078392657,42215.15128261285,39.33
30,112.5,31.25,58.373412,1.6227528090000002e-05,23.019568288954996,7312.571928023205,39.33
60,112.5,31.25,94.45780400000001,1.6227528090000002e-05,25.092953975179995,6085.8830149056985,39.33
60,112.5,31.25,94.45780400000001,1.6227528090000002e-05,33.039286392840005,9007.412975046624,39.33
30,135.0,37.5,70.04809499999999,1.6227528090000002e-05,36.89477084034,12636.124291624099,39.33
30,135.0,37.5,70.04809499999999,1.6227528090000002e-05,45.069626642284994,21380.216071946365,39.33
60,135.0,37.5,113.34936,1.6227528090000002e-05,41.34557778274,10516.405805578399,39.33
60,135.0,37.5,113.34936,1.6227528090000002e-05,52.000858008470004,15564.809523687549,39.33
30,157.5,43.75,81.72277700000001,1.6227528090000002e-05,52.030284823125,20065.69737049568,39.33
30,157.5,43.75,81.72277700000001,1.6227528090000002e-05,66.92157595564,33950.99126239631,39.33
60,157.5,43.75,132.24093,1.6227528090000002e-05,63.1022035161,16699.66302296726,39.33
60,157.5,43.75,132.24093,1.6227528090000002e-05,80.171990951535,24716.341269673198,39.33
30,180.0,50.0,93.39746,1.6227528090000002e-05,94.66395039272498,50679.03068905805,39.33
60,180.0,50.0,151.13249,1.6227528090000002e-05,91.2480147082,24927.77678978383,39.33
60,180.0,50.0,151.13249,1.6227528090000002e-05,111.39337450395,36894.36345939719,39.33
30,90.0,25.0,46.69872981077806,1.533716814e-05,7.110014303047688,3744.036827147881,30.8
30,120.0,25.0,76.69872981077806,1.533716814e-05,11.66590876131714,4333.085449695966,30.8
30,90.0,25.0,46.69872981077806,1.533716814e-05,8.748970178652105,6334.878836132256,30.8
30,120.0,25.0,76.69872981077806,1.533716814e-05,15.363319447285695,6923.927458680342,30.8
30,90.0,25.0,46.69872981077806,1.533716814e-05,11.66590876131714,20595.51473189553,30.8
45,90.0,25.0,65.0,1.533716814e-05,7.900229357741924,3275.3384930563802,30.8
45,120.0,25.0,95.0,1.533716814e-05,12.953633530123104,3864.3871156044665,30.8
45,90.0,25.0,65.0,1.533716814e-05,9.870858376087488,5107.338145807912,30.8
45,120.0,25.0,95.0,1.533716814e-05,17.93884149099618,5696.386768355997,30.8
45,90.0,25.0,65.0,1.533716814e-05,11.100057378677503,15206.531093064585,30.8
60,90.0,25.0,75.56624327025935,1.533716814e-05,8.739227672084079,3115.971436043278,30.8
60,90.0,25.0,75.56624327025935,1.533716814e-05,10.036695392280755,4611.793974529307,30.8
60,90.0,25.0,75.56624327025935,1.533716814e-05,11.529370881281128,12895.55027804501,30.8
90,90.0,25.0,90.0,1.533716814e-05,7.861187715016644,3180.700573388465,30.8
90,90.0,25.0,90.0,1.533716814e-05,10.592804268352369,4476.121577880652,30.8
90,60.0,50.0,60.0,1.533716814e-05,15.198136307690001,40448.00541496859,30.8
90,90.0,25.0,90.0,1.533716814e-05,12.153676858506227,11584.622910112363,30.8
90,90.0,25.0,90.0,1.533716814e-05,13.187881911505,11584.622910112363,30.8
90,90.0,50.0,90.0,1.533716814e-05,30.124631352374998,41037.05403751668,30.8
90,120.0,12.5,120.0,1.533716814e-05,14.965006739900003,4810.5637508093705,30.8
90,120.0,25.0,120.0,1.533716814e-05,22.573030326525,12173.67153266045,30.8
90,150.0,37.5,150.0,1.533716814e-05,52.199373043754996,25034.566458293662,30.8
30,90.0,25.0,46.69873,1.534730914e-05,5.702605711267501,3744.036827147881,27.34
30,90.0,25.0,46.69873,1.534730914e-05,7.934872992134268,6334.878836132256,27.34
45,90.0,25.0,65.0,1.534730914e-05,6.3970065563145,3275.3402488696497,27.34
45,90.0,25.0,65.0,1.534730914e-05,9.017665388634,5107.342198910808,27.34
60,90.0,25.0,75.566243,1.534730914e-05,7.194380129129901,3115.972074179287,27.34
60,90.0,25.0,75.566243,1.534730914e-05,10.002382300281,4611.795378428525,27.34
75,90.0,25.0,83.30127,1.534730914e-05,8.383098190658101,3099.036158305483,27.34
75,90.0,25.0,83.30127,1.534730914e-05,11.2862303781465,4440.154696707681,27.34
90,60.0,50.0,60.0,1.534730914e-05,14.507070508175001,40448.00541496859,27.34
90,90.0,25.0,90.0,1.534730914e-05,11.12583075135,11584.622910112363,27.34
90,90.0,50.0,90.0,1.534730914e-05,27.10879521987,41037.05403751668,27.34
90,120.0,12.5,120.0,1.534730914e-05,12.158245443399998,4810.5637508093705,27.34
90,120.0,25.0,120.0,1.534730914e-05,19.678395562035004,12173.67153266045,27.34
90,150.0,37.5,150.0,1.534730914e-05,44.422068045495,25034.566458293662,27.34
30,90.0,25.0,46.69873,1.513421783e-05,5.1808277957765005,3744.036827147881,26.6
30,90.0,25.0,46.69873,1.513421783e-05,7.030587322980199,6334.878836132256,26.6
45,90.0,25.0,65.0,1.513421783e-05,6.2243842151575,3275.3402488696497,26.6
45,90.0,25.0,65.0,1.513421783e-05,8.525307030877,5107.342198910808,26.6
60,90.0,25.0,75.566243,1.513421783e-05,6.404842363863999,3115.972074179287,26.6
60,90.0,25.0,75.566243,1.513421783e-05,8.993143075776997,4611.795378428525,26.6
75,90.0,25.0,83.30127,1.513421783e-05,7.553344971839449,3099.036158305483,26.6
75,90.0,25.0,83.30127,1.513421783e-05,9.639485549900499,4440.154696707681,26.6
90,60.0,50.0,60.0,1.513421783e-05,13.370124772445,40448.00541496859,26.6
90,90.0,25.0,90.0,1.513421783e-05,10.2858421456,11584.622910112363,26.6
90,90.0,50.0,90.0,1.513421783e-05,25.342783287255003,41037.05403751668,26.6
90,120.0,12.5,120.0,1.513421783e-05,11.038874205135002,4810.5637508093705,26.6
90,120.0,25.0,120.0,1.513421783e-05,17.90312419049,12173.67153266045,26.6
90,150.0,37.5,150.0,1.513421783e-05,43.31471976013,25034.566458293662,26.6
30,90.0,25.0,46.69873,1.6750322160000002e-05,8.752849122536396,3744.036827147881,34.05
30,90.0,25.0,46.69873,1.6750322160000002e-05,12.864312475419998,6334.878836132256,34.05
45,90.0,25.0,65.0,1.6750322160000002e-05,10.981392526160002,3275.3402488696497,34.05
45,90.0,25.0,65.0,1.6750322160000002e-05,12.70855345347,5107.342198910808,34.05
60,90.0,25.0,75.566243,1.6750322160000002e-05,12.186581856641498,3115.972074179287,34.05
60,90.0,25.0,75.566243,1.6750322160000002e-05,14.478869524769998,4611.795378428525,34.05
75,90.0,25.0,83.30127,1.6750322160000002e-05,12.760537524455,3099.036158305483,34.05
75,90.0,25.0,83.30127,1.6750322160000002e-05,16.62875394565,4440.154696707681,34.05
90,60.0,50.0,60.0,1.6750322160000002e-05,19.436020284625002,40448.00541496859,34.05
90,90.0,25.0,90.0,1.6750322160000002e-05,16.750453491485,11584.622910112363,34.05
90,90.0,50.0,90.0,1.6750322160000002e-05,36.44491234621999,41037.05403751668,34.05
90,120.0,12.5,120.0,1.6750322160000002e-05,19.76258074896,4810.5637508093705,34.05
90,120.0,25.0,120.0,1.6750322160000002e-05,29.22451131082,12173.67153266045,34.05
90,150.0,37.5,150.0,1.6750322160000002e-05,65.57171019644,25034.566458293662,34.05
30,112.5,31.25,58.373412,1.6750322160000002e-05,17.071087797225,7312.571928023205,34.05
30,112.5,31.25,58.373412,1.6750322160000002e-05,20.180180267904998,12372.810226820813,34.05
60,112.5,31.25,94.45780400000001,1.6750322160000002e-05,18.37651276062,6085.8830149056985,34.05
60,112.5,31.25,94.45780400000001,1.6750322160000002e-05,22.81360804499,9007.412975046624,34.05
30,135.0,37.5,70.04809499999999,1.6750322160000002e-05,24.158261569715,12636.124291624099,34.05
30,135.0,37.5,70.04809499999999,1.6750322160000002e-05,31.058099887920005,21380.216071946365,34.05
60,135.0,37.5,113.34936,1.6750322160000002e-05,33.03536177151,10516.405805578399,34.05
60,135.0,37.5,113.34936,1.6750322160000002e-05,42.361496708824994,15564.809523687549,34.05
60,135.0,37.5,113.34936,1.6750322160000002e-05,42.290900596805,15564.809523687549,34.05
30,157.5,43.75,81.72277700000001,1.6750322160000002e-05,37.932258512435006,20065.69737049568,34.05
30,157.5,43.75,81.72277700000001,1.6750322160000002e-05,50.766841147715006,33950.99126239631,34.05
60,157.5,43.75,132.24093,1.6750322160000002e-05,49.088719354394996,16699.66302296726,34.05
60,157.5,43.75,132.24093,1.6750322160000002e-05,47.360740552475,24716.341269673198,34.05
30,180.0,50.0,93.39746,1.6750322160000002e-05,51.879055492810004,29952.294617183048,34.05
30,180.0,50.0,93.39746,1.6750322160000002e-05,61.590003376125004,50679.03068905805,34.05
60,180.0,50.0,151.13249,1.6750322160000002e-05,54.62917554023999,24927.77678978383,34.05
60,180.0,50.0,151.13249,1.6750322160000002e-05,67.66697353814999,36894.36345939719,34.05
